markerId,pointId,name,listOrder,listLabel,recordType,source,sceneCode,scenePayload,pagePath,landingPath,miniappStatus,pngFileName
"2","poi-02","景区大门口左侧牌子","1","01","markdown-table","bsp","jqdmkzcpz","s=bsp&scene=jqdmkzcpz","pages/landing/index","pages/landing/index?s=bsp&scene=jqdmkzcpz","已在小程序中可用","01-jqdmkzcpz-景区大门口左侧牌子.png"
"4","poi-04","步道起点大石头","2","02","markdown-table","bsp","bdqddst","s=bsp&scene=bdqddst","pages/landing/index","pages/landing/index?s=bsp&scene=bdqddst","已在小程序中可用","02-bdqddst-步道起点大石头.png"
"8","poi-08","石桥边战鼓车","3","03","markdown-table","bsp","sqbzgc","s=bsp&scene=sqbzgc","pages/landing/index","pages/landing/index?s=bsp&scene=sqbzgc","已在小程序中可用","03-sqbzgc-石桥边战鼓车.png"
"3","poi-03","步道分叉口立牌","4","04","markdown-table","bsp","bdfcklp","s=bsp&scene=bdfcklp","pages/landing/index","pages/landing/index?s=bsp&scene=bdfcklp","已在小程序中可用","04-bdfcklp-步道分叉口立牌.png"
"7","poi-07","登山步道起点左侧入口牌","5","05","markdown-table","bsp","dsbdqdzcrkp","s=bsp&scene=dsbdqdzcrkp","pages/landing/index","pages/landing/index?s=bsp&scene=dsbdqdzcrkp","已在小程序中可用","05-dsbdqdzcrkp-登山步道起点左侧入口牌.png"
"6","poi-06","登山步道凿石料小景","6","06","markdown-table","bsp","dsbdzslxj","s=bsp&scene=dsbdzslxj","pages/landing/index","pages/landing/index?s=bsp&scene=dsbdzslxj","已在小程序中可用","06-dsbdzslxj-登山步道凿石料小景.png"
"12","poi-12","毛驴运输石料小景","7","07","markdown-table","bsp","mlysslxj","s=bsp&scene=mlysslxj","pages/landing/index","pages/landing/index?s=bsp&scene=mlysslxj","已在小程序中可用","07-mlysslxj-毛驴运输石料小景.png"
"14","poi-14","分叉路汇合点（大）","8","08","markdown-table","bsp","fclhhdd","s=bsp&scene=fclhhdd","pages/landing/index","pages/landing/index?s=bsp&scene=fclhhdd","已在小程序中可用","08-fclhhdd-分叉路汇合点（大）.png"
"26","poi-26","木亭子","9","09","markdown-table","bsp","mtz","s=bsp&scene=mtz","pages/landing/index","pages/landing/index?s=bsp&scene=mtz","已在小程序中可用","09-mtz-木亭子.png"
"16","poi-16","城上卫生间","10","10","markdown-table","bsp","cswsj","s=bsp&scene=cswsj","pages/landing/index","pages/landing/index?s=bsp&scene=cswsj","已在小程序中可用","10-cswsj-城上卫生间.png"
"18","poi-18","营盘城外牌","11","11","markdown-table","bsp","ypcwp","s=bsp&scene=ypcwp","pages/landing/index","pages/landing/index?s=bsp&scene=ypcwp","已在小程序中可用","11-ypcwp-营盘城外牌.png"
"19","poi-19","营盘内二维码","12","12","markdown-table","bsp","ypnewm","s=bsp&scene=ypnewm","pages/landing/index","pages/landing/index?s=bsp&scene=ypnewm","已在小程序中可用","12-ypnewm-营盘内二维码.png"
"20","poi-20","单片楼避雷针底座（内）","13","13","markdown-table","bsp","dplblzdzn","s=bsp&scene=dplblzdzn","pages/landing/index","pages/landing/index?s=bsp&scene=dplblzdzn","已在小程序中可用","13-dplblzdzn-单片楼避雷针底座（内）.png"
"21","poi-21","九眼楼","14","14","markdown-table","bsp","jyl","s=bsp&scene=jyl","pages/landing/index","pages/landing/index?s=bsp&scene=jyl","已在小程序中可用","14-jyl-九眼楼.png"
"23","poi-23","碑刻区","15","15","markdown-table","bsp","bkq","s=bsp&scene=bkq","pages/landing/index","pages/landing/index?s=bsp&scene=bkq","已在小程序中可用","15-bkq-碑刻区.png"
"24","poi-24","下山路第一处牌子（小）","16","16","markdown-table","bsp","xsldycpzx","s=bsp&scene=xsldycpzx","pages/landing/index","pages/landing/index?s=bsp&scene=xsldycpzx","已在小程序中可用","16-xsldycpzx-下山路第一处牌子（小）.png"
"11","poi-11","铁桥边立牌（大）","17","17","markdown-table","bsp","tqblpdpclc","s=bsp&scene=tqblpdpclc","pages/landing/index","pages/landing/index?s=bsp&scene=tqblpdpclc","已在小程序中可用","17-tqblpdpclc-铁桥边立牌（大）.png"
"5","poi-05","火焰广场处地图旁","18","18","markdown-table","bsp","hygcdt","s=bsp&scene=hygcdt","pages/landing/index","pages/landing/index?s=bsp&scene=hygcdt","已在小程序中可用","18-hygcdt-火焰广场处地图旁.png"
"10","poi-10","诗词牌子（前一处）","19","19","markdown-table","bsp","scpz14","s=bsp&scene=scpz14","pages/landing/index","pages/landing/index?s=bsp&scene=scpz14","已在小程序中可用","19-scpz14-诗词牌子（前一处）.png"
"13","poi-13","诗词牌子（后一处）","20","20","markdown-table","bsp","scpz17","s=bsp&scene=scpz17","pages/landing/index","pages/landing/index?s=bsp&scene=scpz17","已在小程序中可用","20-scpz17-诗词牌子（后一处）.png"
"17","poi-17","中军帐小景","21","21","markdown-table","bsp","jzzxj","s=bsp&scene=jzzxj","pages/landing/index","pages/landing/index?s=bsp&scene=jzzxj","已在小程序中可用","21-jzzxj-中军帐小景.png"
"22","poi-22","第一楼","22","22","markdown-table","bsp","dylsb","s=bsp&scene=dylsb","pages/landing/index","pages/landing/index?s=bsp&scene=dylsb","已在小程序中可用","22-dylsb-第一楼.png"
"25","poi-25","下山第二块（小）","23","23","markdown-table","bsp","xsedkpzx","s=bsp&scene=xsedkpzx","pages/landing/index","pages/landing/index?s=bsp&scene=xsedkpzx","已在小程序中可用","23-xsedkpzx-下山第二块（小）.png"
"15","poi-15","分叉点第一个竖牌（小）","24","24","markdown-table","bsp","shzfcddygsp","s=bsp&scene=shzfcddygsp","pages/landing/index","pages/landing/index?s=bsp&scene=shzfcddygsp","已在小程序中可用","24-shzfcddygsp-分叉点第一个竖牌（小）.png"
"","wwdgcggp","翁万达广场广告牌","25","P1","markdown-table","bsp","wwdgcggp","s=bsp&scene=wwdgcggp","pages/landing/index","pages/landing/index?s=bsp&scene=wwdgcggp","尚未投入","25-wwdgcggp-翁万达广场广告牌.png"
"","jpkdxysp","检票口，当心有蛇提示牌","26","P2","markdown-table","bsp","jpkdxysp","s=bsp&scene=jpkdxysp","pages/landing/index","pages/landing/index?s=bsp&scene=jpkdxysp","尚未投入","26-jpkdxysp-检票口，当心有蛇提示牌.png"
"","sqclp","石桥处立牌","27","P3","markdown-table","bsp","sqclp","s=bsp&scene=sqclp","pages/landing/index","pages/landing/index?s=bsp&scene=sqclp","尚未投入","27-sqclp-石桥处立牌.png"
"","ycfc","右侧分叉","28","P4","markdown-table","bsp","ycfc","s=bsp&scene=ycfc","pages/landing/index","pages/landing/index?s=bsp&scene=ycfc","尚未投入","28-ycfc-右侧分叉.png"
"","fcld","分叉路（大）","29","P5","markdown-table","bsp","fcld","s=bsp&scene=fcld","pages/landing/index","pages/landing/index?s=bsp&scene=fcld","尚未投入","29-fcld-分叉路（大）.png"
"","fclhhddbm","分叉路汇合点（大）背面","30","P6","markdown-table","bsp","fclhhddbm","s=bsp&scene=fclhhddbm","pages/landing/index","pages/landing/index?s=bsp&scene=fclhhddbm","尚未投入","30-fclhhddbm-分叉路汇合点（大）背面.png"
"","dplw","单片楼（外）","31","P7","markdown-table","bsp","dplw","s=bsp&scene=dplw","pages/landing/index","pages/landing/index?s=bsp&scene=dplw","尚未投入","31-dplw-单片楼（外）.png"
"","jylgs01","《四海冶山行》","32","G1","markdown-table","bsp","jylgs01","s=bsp&scene=jylgs01","pages/landing/index","pages/landing/index?s=bsp&scene=jylgs01","尚未投入","32-jylgs01-《四海冶山行》.png"
"","jylgs02","《登火焰山次韵六首》","33","G2","markdown-table","bsp","jylgs02","s=bsp&scene=jylgs02","pages/landing/index","pages/landing/index?s=bsp&scene=jylgs02","尚未投入","33-jylgs02-《登火焰山次韵六首》.png"
"","jylgs03","《火焰山 次铜梁张抚台韵》","34","G3","markdown-table","bsp","jylgs03","s=bsp&scene=jylgs03","pages/landing/index","pages/landing/index?s=bsp&scene=jylgs03","尚未投入","34-jylgs03-《火焰山 次铜梁张抚台韵》.png"
"","jylgs04","《登火焰山楼 张维世 其一》","35","G4","markdown-table","bsp","jylgs04","s=bsp&scene=jylgs04","pages/landing/index","pages/landing/index?s=bsp&scene=jylgs04","尚未投入","35-jylgs04-《登火焰山楼 张维世 其一》.png"
"","jylgs05","《登火焰山楼 张维世 其二》","36","G5","markdown-table","bsp","jylgs05","s=bsp&scene=jylgs05","pages/landing/index","pages/landing/index?s=bsp&scene=jylgs05","尚未投入","36-jylgs05-《登火焰山楼 张维世 其二》.png"
"","jylgs06","《登火焰山楼 梁云构 其二》","37","G6","markdown-table","bsp","jylgs06","s=bsp&scene=jylgs06","pages/landing/index","pages/landing/index?s=bsp&scene=jylgs06","尚未投入","37-jylgs06-《登火焰山楼 梁云构 其二》.png"
"","jylgs07","《登火焰山楼 梁云构 其一》","38","G7","markdown-table","bsp","jylgs07","s=bsp&scene=jylgs07","pages/landing/index","pages/landing/index?s=bsp&scene=jylgs07","尚未投入","38-jylgs07-《登火焰山楼 梁云构 其一》.png"
"","jylgs08","《宣镇东路图说》","39","G8","markdown-table","bsp","jylgs08","s=bsp&scene=jylgs08","pages/landing/index","pages/landing/index?s=bsp&scene=jylgs08","尚未投入","39-jylgs08-《宣镇东路图说》.png"
"","jylhb01","海报","40","A1","markdown-table","bsp","jylhb01","s=bsp&scene=jylhb01","pages/landing/index","pages/landing/index?s=bsp&scene=jylhb01","尚未投入","40-jylhb01-海报.png"
"","jylgzlp01","广场立牌通用二维码","41","A2","markdown-table","bsp","jylgzlp01","s=bsp&scene=jylgzlp01","pages/landing/index","pages/landing/index?s=bsp&scene=jylgzlp01","尚未投入","41-jylgzlp01-广场立牌通用二维码.png"
"1","poi-01","景区大门","42","42","markdown-legacy","bsp","jqdm","s=bsp&scene=jqdm","pages/landing/index","pages/landing/index?s=bsp&scene=jqdm","已在小程序中可用","42-jqdm-景区大门.png"
"","jylby01","备用链接 01","43","B1","markdown-table","bsp","jylby01","s=bsp&scene=jylby01","pages/landing/index","pages/landing/index?s=bsp&scene=jylby01","尚未投入","43-jylby01-备用链接 01.png"
"","jylby02","备用链接 02","44","B2","markdown-table","bsp","jylby02","s=bsp&scene=jylby02","pages/landing/index","pages/landing/index?s=bsp&scene=jylby02","尚未投入","44-jylby02-备用链接 02.png"
"","jylby03","备用链接 03","45","B3","markdown-table","bsp","jylby03","s=bsp&scene=jylby03","pages/landing/index","pages/landing/index?s=bsp&scene=jylby03","尚未投入","45-jylby03-备用链接 03.png"
